categoria,etiqueta,momento_hu_1,momento_hu_2,momento_hu_3,momento_hu_4,momento_hu_5,momento_hu_6,momento_hu_7
carro,0,0.24999999998544808,0.0347222222278813,1.3767912811478997e-15,6.971981128409349e-16,6.753914341444251e-31,-1.1260641290626073e-16,1.021655303317003e-31
carro,0,0.2222222222480923,0.01234567901522013,0.005486962029680038,0.00021947988116236106,-2.408563230080189e-07,-2.4386653465321947e-05,-1.0447432366053804e-13
carro,0,0.25777777777053423,0.03794567901398666,0.0008959641077026011,0.00021666947089634759,8.031437629182519e-08,2.5277945563779828e-05,5.160495342450895e-08
carro,0,2.550925925926195,6.405371227710026,0.18272430509756382,0.1463350353267995,0.023916821683170296,0.3550477028745279,0.0007565433722467405
carro,0,2.2798353909877025,3.835204660437786,2.1872408846668643,0.19769611143979396,-0.12997555818203355,-0.3870422719301778,0.0025536819964399743
carro,0,8.311111111119391,65.4884227159748,101.85107391753893,85.52333723497291,7981.415642532015,691.6914672341646,-93.56165416528302
carro,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carro,0,6.898148148158927,46.95584705079058,147.05329482333028,146.94111661367288,21599.931974930085,1006.9024570700444,0.04290642260457389
carro,0,0.24999999999272404,0.03472222222424332,3.196566023572781e-17,2.9199144750876856e-17,7.79958199771698e-34,-5.416406223841949e-18,4.3295165384254375e-34
carro,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carro,0,0.4032921810899602,0.05976392487478334,0.03344896282809783,0.006836936856750747,0.0001019672587343297,0.0016627216392671666,1.710039685931701e-05
carro,0,1.041111111112405,0.9117701234546823,0.27495282383373376,0.14074142673271509,0.027017544187457183,0.0761784629311843,-0.006047583100005513
carro,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carro,0,133.86171138161848,16949.363305184852,9754211.286617078,9589398.605413873,92743425705289.69,1246428167.5143344,10741258516.074707
carro,0,0.5359629991180408,0.1274267956514632,0.029483136132744295,0.11283522954257966,-0.0021794638299132817,-0.010401280065413989,-0.006132311458669252
carro,0,1019.5229766803857,1037180.1172205597,6430260692.826605,6426294664.751475,4.131000458517438e+19,6544644992539.315,15180600403456.0
carro,0,0.2222222222662822,0.012345679008752613,0.005486969697465678,0.0002194790020453091,-2.4085504419169856e-07,-2.4386555779240965e-05,5.131436462079622e-13
carro,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
