Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Etiqueta
0.0009218529910095276,6.517912928433935e-08,7.270658554052872e-14,3.9866723567155096e-13,-3.443511873460913e-26,-6.09493377271771e-17,5.849005486643716e-26,caja
0.0009307455665188095,6.668549123929733e-08,1.3271594859873443e-13,8.542163786418412e-13,8.692862220702962e-26,3.6009291133551105e-17,2.7416512205399592e-25,caja
0.0008787583821608263,6.04229378799247e-08,9.630981210695106e-14,6.155595216782945e-13,1.0982219455937487e-25,9.439010883910503e-17,1.0199389607105602e-25,caja
0.0008787293266200706,6.041948410754298e-08,9.631305456409319e-14,6.155220619425347e-13,1.0972949015946335e-25,9.429028754719697e-17,1.0207724316901467e-25,caja
0.0008787489593590724,6.042235668702593e-08,9.619856204423243e-14,6.148654528918253e-13,1.0957417627315723e-25,9.424505603648336e-17,1.0176152481334021e-25,caja
0.0008787065228555177,6.041391009474836e-08,9.611724979598199e-14,6.145862502502734e-13,1.0955553004517848e-25,9.435302033969558e-17,1.0153900316160224e-25,caja
0.0008493422626510838,5.6804706190923665e-08,2.6902138366559676e-14,1.483353011906787e-13,6.632441080926797e-27,1.835040852662358e-17,-6.61936170292409e-27,caja
0.0008493171464895535,5.680095783529912e-08,2.6913648297802993e-14,1.4845217723708867e-13,6.6546075013306e-27,1.8421075223733784e-17,-6.615647542754724e-27,caja
0.000849287901374956,5.6796239911347015e-08,2.6957999680060263e-14,1.4871262720004956e-13,6.679265963482451e-27,1.8466697497915168e-17,-6.636875440576868e-27,caja
0.0008493184105879028,5.680116575291176e-08,2.6909023611419792e-14,1.484476039881387e-13,6.651481175621088e-27,1.8415541449126887e-17,-6.617032990981445e-27,caja
0.0009279898022006828,6.670466929439823e-08,9.099328907189028e-14,4.572301989807847e-13,-4.541843342761947e-26,-6.838464151441077e-17,-8.145587374734143e-26,caja
0.0009279898022006828,6.670466929439823e-08,9.099328907189028e-14,4.572301989807847e-13,-4.541843342761947e-26,-6.838464151441077e-17,-8.145587374734143e-26,caja
0.0009279831426598053,6.670366991917087e-08,9.100166021324684e-14,4.57263930025873e-13,-4.5439010166073863e-26,-6.839870731974809e-17,-8.146112765063841e-26,caja
0.0009279898022006828,6.670466929439823e-08,9.099328907189028e-14,4.572301989807847e-13,-4.541843342761947e-26,-6.838464151441077e-17,-8.145587374734143e-26,caja
0.0009383357907995894,6.714527742411723e-08,8.379902921632973e-14,4.843021974136159e-13,-5.474495761955817e-26,-8.783810342257885e-17,8.075842623897463e-26,caja
0.0009383578885854427,6.714939844443159e-08,8.377070728443027e-14,4.844452024555512e-13,-5.460703947439423e-26,-8.770765013656916e-17,8.088398967300295e-26,caja
0.0009383362552925351,6.714551853297637e-08,8.380389421630721e-14,4.844243590179235e-13,-5.47141524839672e-26,-8.780395847620545e-17,8.08273061113231e-26,caja
0.0009383623261154895,6.714773994869841e-08,8.37277786504743e-14,4.841719552087608e-13,-5.451704346323383e-26,-8.762720656642504e-17,8.081498081514354e-26,caja
0.0009383535793253007,6.714862680666093e-08,8.369363771943567e-14,4.84363661269367e-13,-5.446346503653781e-26,-8.757798714879054e-17,8.089692950323366e-26,caja
0.0009383357741507484,6.714342722721478e-08,8.370332658582276e-14,4.839391737918986e-13,-5.459109810510524e-26,-8.770226141315558e-17,8.066293788389736e-26,caja
0.0009195737405242557,6.48594154405456e-08,7.29050565703395e-14,4.045018954582112e-13,-2.526267403062138e-26,-4.884039274242391e-17,6.470735593027225e-26,caja
0.0009195600966746948,6.485713875321238e-08,7.289846465143353e-14,4.04325992426449e-13,-2.5333095423906071e-26,-4.893237748682636e-17,6.46277876701577e-26,caja
0.0009194989347276871,6.484924092235145e-08,7.278358588027036e-14,4.0429241372767796e-13,-2.5111011233531743e-26,-4.8662147478054974e-17,6.464643750976319e-26,caja
0.0009195344419616195,6.485350845826623e-08,7.277734117616627e-14,4.042175852436532e-13,-2.5108332601164857e-26,-4.867368574276202e-17,6.462363216911674e-26,caja
0.0009195352326615792,6.485442286865909e-08,7.280726828717901e-14,4.04409574688429e-13,-2.511984332942309e-26,-4.8681383316894366e-17,6.468745839750875e-26,caja
0.0009195333989110725,6.485388367770233e-08,7.284191638509729e-14,4.0447291722633443e-13,-2.517479226198695e-26,-4.8732830036059696e-17,6.47013093585799e-26,caja
0.000919527910846646,6.48535158882974e-08,7.286318991916854e-14,4.047373474020212e-13,-2.513862399444076e-26,-4.867781320786065e-17,6.479930028257888e-26,caja
0.0009218040841656363,6.517234826343586e-08,7.271917222146217e-14,3.9875952667445937e-13,-3.446840855614359e-26,-6.096928383577206e-17,5.850462375056613e-26,caja
0.00094504335621859,6.862872009976063e-08,1.2693014850069392e-13,6.734351417711021e-13,-8.31478687623232e-26,-8.321682512829367e-17,1.7847277704828178e-25,caja
0.0009450564863867749,6.863048555714375e-08,1.2694203246933503e-13,6.734882968812686e-13,-8.307381638555258e-26,-8.315178383929487e-17,1.7854313746278689e-25,caja
0.0009450561572705273,6.863028836191244e-08,1.2691924368927765e-13,6.73292962815783e-13,-8.312749898551344e-26,-8.32071737823093e-17,1.784041549130602e-25,caja
0.0009450360493370436,6.862713834678187e-08,1.2689264109264453e-13,6.729252359284712e-13,-8.326591565754607e-26,-8.333570015437549e-17,1.7813889856340577e-25,caja
0.0009450629426049333,6.863117152500169e-08,1.269439672241135e-13,6.73370733896094e-13,-8.300026598304641e-26,-8.309990896108828e-17,1.7852213722740818e-25,caja
0.00094498399468103,6.861286810443426e-08,1.269353415031909e-13,6.73512176049171e-13,-8.266301645222139e-26,-8.283026254303735e-17,1.78739523838936e-25,caja
0.0009449543290544022,6.861048166803477e-08,1.268393801886334e-13,6.731162522409739e-13,-8.288152552314832e-26,-8.302185161108677e-17,1.7836486825372066e-25,caja
0.00094498399468103,6.861286810443426e-08,1.269353415031909e-13,6.73512176049171e-13,-8.266301645222139e-26,-8.283026254303735e-17,1.78739523838936e-25,caja
0.0009449301438742357,6.860828186298818e-08,1.267831567368872e-13,6.728640403644003e-13,-8.305012623477274e-26,-8.316377967878124e-17,1.781164098322731e-25,caja
0.0009449602564107824,6.861096095088169e-08,1.2685779923262852e-13,6.731922759310758e-13,-8.283791216135907e-26,-8.298404512434773e-17,1.784376127768953e-25,caja
0.0009449364131209801,6.860979625153499e-08,1.2683290360499728e-13,6.730277959862102e-13,-8.3102764087931e-26,-8.318835709811258e-17,1.7821358298687569e-25,caja
0.0009449095745575036,6.86059185110939e-08,1.2679391948362466e-13,6.727338193236569e-13,-8.331003251936364e-26,-8.337395458539878e-17,1.7794121017103154e-25,caja
0.0009449235832689066,6.860799806142096e-08,1.2684988862478516e-13,6.730564318144023e-13,-8.308630304333129e-26,-8.317233364502167e-17,1.7824963166406372e-25,caja
0.0009449668428870022,6.861246053685773e-08,1.2693530378144774e-13,6.734336762414e-13,-8.280008091790113e-26,-8.292803552039965e-17,1.7863809285249653e-25,caja
0.0009449607964054337,6.861188748973861e-08,1.2690345344402887e-13,6.732915428361909e-13,-8.285483591100194e-26,-8.298606232934355e-17,1.7851676444313501e-25,caja
